_id,neighborhood_municipality,bivalent_booster
25477,Chartiers City (Pittsburgh),90
25478,Coraopolis,919
25479,McKeesport,2151
25480,Kennedy,1828
25481,East Liberty (Pittsburgh),1207
25482,Carrick (Pittsburgh),1405
25483,Point Breeze (Pittsburgh),2458
25484,Lincoln Place (Pittsburgh),534
25485,Stanton Heights (Pittsburgh),1318
25486,Jefferson Hills,1994
25487,Mcdonald,0
25488,Allegheny Center (Pittsburgh),244
25489,Brighton Heights (Pittsburgh),1440
25490,Heidelberg,198
25491,Edgewood,1206
25492,Trafford,2
25493,Mckees rocks,639
25494,Glen Hazel (Pittsburgh),169
25495,Windgap (Pittsburgh),263
25496,Frazer,162
25497,Perry North (Pittsburgh),763
25498,Springdale Borough,602
25499,Crawford-Roberts (Pittsburgh),459
25500,Moon,4831
25501,Whitaker,141
25502,Crafton Heights (Pittsburgh),670
25503,South Shore (Pittsburgh),35
25504,Middle Hill (Pittsburgh),261
25505,Lower Lawrenceville (Pittsburgh),709
25506,East Carnegie (Pittsburgh),78
25507,Brentwood,1649
25508,Highland Park (Pittsburgh),2307
25509,Emsworth,440
25510,South Park,2731
25511,Monroeville,6511
25512,Southside Flats (Pittsburgh),1251
25513,Pennsbury Village,133
25514,Turtle Creek,649
25515,Braddock,193
25516,Overbrook (Pittsburgh),558
25517,Hays (Pittsburgh),46
25518,Knoxville (Pittsburgh),354
25519,North Fayette,2044
25520,Garfield (Pittsburgh),747
25521,New Homestead (Pittsburgh),177
25522,Robinson,3103
25523,North Shore (Pittsburgh),61
25524,Swissvale,1872
25525,Chateau (Pittsburgh),12
25526,Aspinwall,913
25527,Marshall,1656
25528,West Oakland (Pittsburgh),217
25529,Troy Hill (Pittsburgh),552
25530,Liberty,370
25531,Castle Shannon,1656
25532,Fineview (Pittsburgh),172
25533,Dravosburg,256
25534,Green Tree,1203
25535,Avalon,921
25536,Glen Osborne,164
25537,Etna,592
25538,Findlay,998
25539,Perry South (Pittsburgh),612
25540,Sewickley Heights,244
25541,Port Vue,491
25542,Esplen (Pittsburgh),30
25543,Swisshelm Park (Pittsburgh),422
25544,Strip District (Pittsburgh),445
25545,Arlington Heights (Pittsburgh),35
25546,West View,1296
25547,Munhall,1919
25548,Fox Chapel,2006
25549,Spring Hill-City View (Pittsburgh),451
25550,North Oakland (Pittsburgh),1346
25551,Leetsdale,197
25552,Versailles,221
25553,Homewood South (Pittsburgh),311
25554,Bloomfield (Pittsburgh),2298
25555,Baldwin Township,458
25556,Homewood North (Pittsburgh),306
25557,Regent Square (Pittsburgh),461
25558,Pleasant Hills,1855
25559,West Homestead,327
25560,Ben Avon Heights,123
25561,Morningside (Pittsburgh),976
25562,South Oakland (Pittsburgh),423
25563,Brackenridge,413
25564,Ohio,1930
25565,Pitcairn,412
25566,Millvale,534
25567,Sewickley,1027
25568,Stowe,723
25569,Upper Hill (Pittsburgh),332
25570,Shaler,6614
25571,Hazelwood (Pittsburgh),639
25572,Harrison,1742
25573,Sharpsburg,538
25574,Pine,3024
25575,Blawnox,316
25576,Elizabeth Township,2163
25577,Rankin,175
25578,Scott,3864
25579,Squirrel Hill South (Pittsburgh),5347
25580,Mt. Oliver (Pittsburgh),80
25581,Allentown (Pittsburgh),301
25582,Duquesne Heights (Pittsburgh),509
25583,West Mifflin,3419
25584,East Deer,247
25585,Bridgeville,854
25586,Bedford Dwellings (Pittsburgh),128
25587,Oakmont,2020
25588,Aleppo,384
25589,Oakdale,250
25590,Greenfield (Pittsburgh),1963
25591,Westwood (Pittsburgh),619
25592,Beltzhoover (Pittsburgh),221
25593,Kilbuck,201
25594,Squirrel Hill North (Pittsburgh),3244
25595,South Versailles,45
25596,West End (Pittsburgh),38
25597,Churchill,1061
25598,Dormont,1827
25599,Elizabeth Borough,194
25600,California-Kirkbride (Pittsburgh),104
25601,Friendship (Pittsburgh),437
25602,Reserve,745
25603,Oakwood (Pittsburgh),222
25604,Central Lawrenceville (Pittsburgh),1339
25605,North Versailles,1702
25606,Sewickley Hills,189
25607,Springdale Township,363
25608,Banksville (Pittsburgh),786
25609,O'Hara,3150
25610,Franklin Park,4050
25611,Neville,154
25612,Manchester (Pittsburgh),436
25613,McCandless,7579
